object_id	subject_id	predicate_id
CL:0002536	HP:0011409	RO:0000052
CL:0000127	HP:0100707	RO:0000052
CL:0000767	HP:0001912	RO:0000052
CL:0002598	HP:0025426	RO:0000052
CL:0002548	HP:0001627	RO:0000052
CL:0000746	HP:0001627	RO:0000052
CL:0000138	HP:0002763	RO:0000052
CL:0000575	HP:0011495	RO:0000052
CL:0002138	HP:0100766	RO:0000052
CL:0002554	HP:0100766	RO:0000052
CL:0002504	HP:0030935	RO:0000052
CL:0002252	HP:0002031	RO:0000052
CL:0002231	HP:0008775	RO:0000052
CL:1000487	HP:0008775	RO:0000052
CL:0002334	HP:0009124	RO:0000052
CL:0000136	HP:0009124	RO:0000052
CL:0002549	HP:0007376	RO:0000052
CL:0002552	HP:0000168	RO:0000052
CL:0002556	HP:0410026	RO:0000052
CL:0002557	HP:0030966	RO:0000052
CL:0002550	HP:0000502	RO:0000052
CL:1000306	HP:0011004	RO:0000052
CL:0002621	HP:0000168	RO:0000052
CL:0002559	HP:0001595	RO:0000052
CL:0000632	HP:0410042	RO:0000052
CL:0000182	HP:0410042	RO:0000052
CL:0002565	HP:0008034	RO:0000052
CL:0002363	HP:0011492	RO:0000052
CL:0002518	HP:0012210	RO:0000052
CL:0002224	HP:0000517	RO:0000052
CL:0000945	HP:0002846	RO:0000052
CL:0000235	HP:0004311	RO:0000052
CL:0002327	HP:0031093	RO:0000052
CL:0000097	HP:0100494	RO:0000052
CL:0000576	HP:0012144	RO:0000052
CL:0000056	HP:0011805	RO:0000052
CL:0000623	HP:0012176	RO:0000052
CL:0000540	HP:0012757	RO:0000052
CL:0000047	HP:0012757	RO:0000052
CL:0000775	HP:0011992	RO:0000052
CL:0002368	HP:0012253	RO:0000052
CL:0002586	HP:0007703	RO:0000052
CL:0000188	HP:0011805	RO:0000052
CL:0002620	HP:0011121	RO:0000052
CL:0002599	HP:0002031	RO:0000052
CL:0002600	HP:0002778	RO:0000052
CL:0000084	HP:0002843	RO:0000052
CL:0000388	HP:0100261	RO:0000052
CL:0002367	HP:0012630	RO:0000052
CL:0002601	HP:0031105	RO:0000052
CL:0000359	HP:0025015	RO:0000052
UBERON:0001013	HP:0009124	RO:0000052
UBERON:0000178	HP:0001871	RO:0000052
UBERON:0001981	HP:0025015	RO:0000052
UBERON:0000955	HP:0012443	RO:0000052
UBERON:0001043	HP:0002031	RO:0000052
UBERON:0000970	HP:0012372	RO:0000052
UBERON:0000992	HP:0031065	RO:0000052
UBERON:0002110	HP:0012437	RO:0000052
UBERON:0000948	HP:0001627	RO:0000052
UBERON:0004054	HP:0000022	RO:0000052
UBERON:0002113	HP:0012210	RO:0000052
UBERON:0000059	HP:0002250	RO:0000052
UBERON:0002107	HP:0410042	RO:0000052
UBERON:0002048	HP:0002088	RO:0000052
UBERON:0000029	HP:0002733	RO:0000052
UBERON:0002360	HP:0010651	RO:0000052
UBERON:0003112	HP:0025057	RO:0000052
UBERON:0001264	HP:0012090	RO:0000052
UBERON:0001831	HP:0000197	RO:0000052
UBERON:0000989	HP:0000036	RO:0000052
UBERON:0001987	HP:0100767	RO:0000052
UBERON:0002367	HP:0008775	RO:0000052
UBERON:0001044	HP:0010286	RO:0000052
UBERON:0001134	HP:0011805	RO:0000052
UBERON:0002097	HP:0011121	RO:0000052
UBERON:0002108	HP:0002244	RO:0000052
UBERON:0001135	HP:0030935	RO:0000052
UBERON:0002240	HP:0002143	RO:0000052
UBERON:0002106	HP:0025408	RO:0000052
UBERON:0000945	HP:0002577	RO:0000052
UBERON:0001736	HP:0010287	RO:0000052
UBERON:0000473	HP:0000035	RO:0000052
UBERON:0000341	HP:0000600	RO:0000052
UBERON:0002370	HP:0000777	RO:0000052
UBERON:0002046	HP:0011772	RO:0000052
UBERON:0001723	HP:0030809	RO:0000052
UBERON:0002372	HP:0100765	RO:0000052
UBERON:0002331	HP:0010881	RO:0000052
UBERON:0001255	HP:0025487	RO:0000052
UBERON:0000995	HP:0031105	RO:0000052
UBERON:0000996	HP:0000142	RO:0000052
